index,y_pred
0,0.21
1,0.09
2,0.1
3,0.99
4,0.15
5,0.99
6,0.54
7,0.07
8,0.94
9,0.08
10,0.09
11,0.03
12,0.27
13,0.05
14,0.95
15,0.14
16,0.3
17,0.19
18,0.2
19,0.54
20,0.12
21,0.03
22,0.99
23,0.94
24,0.03
25,0.99
26,1.0
27,0.11
28,0.94
29,1.0
30,0.17
31,0.2
32,0.11
33,0.35
34,0.08
35,0.88
36,0.07
37,0.22
38,0.97
39,0.2
40,0.05
41,0.0
42,0.28
43,0.14
44,0.97
45,0.11
46,0.99
47,0.17
48,0.07
49,0.09
50,0.07
51,0.13
52,0.37
53,0.45
54,0.13
55,0.05
56,0.26
57,0.96
58,0.48
59,0.88
60,0.34
61,0.69
62,0.2
63,0.52
64,0.18
65,0.3
66,0.13
67,0.81
68,0.95
69,0.3
70,0.32
71,0.13
72,0.01
73,0.98
74,0.33
75,0.07
76,0.15
77,0.94
78,0.95
79,0.11
80,0.14
81,0.93
82,0.29
83,0.23
84,0.09
85,0.25
86,0.34
87,0.32
88,0.84
89,0.1
90,0.15
91,0.23
92,0.23
93,0.35
94,0.99
95,0.35
96,0.98
97,0.01
98,0.37
99,0.08
100,0.37
101,0.16
102,0.99
103,0.35
104,0.06
105,0.13
106,0.24
107,0.99
108,0.97
109,0.3
110,0.34
111,0.19
112,0.03
113,0.89
114,1.0
115,0.21
116,0.24
117,0.09
118,0.7
119,0.53
120,0.26
121,0.94
122,0.17
123,0.01
124,0.08
125,0.86
126,0.62
127,0.0
128,0.13
129,0.09
130,0.25
131,0.65
132,0.21
133,0.05
134,0.48
135,0.09
136,0.13
137,0.17
138,0.18
139,1.0
140,0.07
141,0.29
142,0.79
143,0.65
144,0.05
145,0.11
146,0.39
147,0.1
148,0.08
149,0.03
150,0.02
151,0.09
152,0.55
153,0.95
154,0.65
155,0.29
156,0.52
157,0.99
158,0.99
159,0.5
160,0.03
161,0.06
162,0.8
163,0.04
164,0.02
165,0.34
166,0.33
167,0.09
168,0.01
169,0.15
170,0.14
171,0.98
172,0.06
173,0.29
174,0.16
175,0.04
176,0.21
177,0.14
178,0.28
179,0.08
180,0.18
181,0.99
182,0.53
183,0.04
184,0.26
185,0.41
186,0.09
187,0.26
188,0.64
189,0.19
190,0.28
191,0.81
192,0.1
193,0.84
194,0.13
195,0.3
196,0.2
197,0.01
198,0.96
199,0.05
200,0.32
201,0.98
202,0.17
203,0.26
204,0.1
205,0.16
206,0.06
207,0.05
208,0.09
209,0.12
210,0.16
211,0.06
212,0.39
213,0.04
214,0.99
215,0.17
216,0.07
217,0.04
218,0.23
219,0.22
220,0.9
221,0.5
222,0.43
223,0.17
224,0.34
225,0.24
226,0.19
227,0.17
228,0.39
229,0.1
230,0.12
231,0.3
232,0.34
233,0.53
234,0.11
235,0.15
236,0.03
237,0.97
238,0.28
239,0.91
240,0.64
241,0.99
242,0.92
243,0.11
244,0.79
245,0.17
246,0.17
247,0.1
248,0.08
249,0.07
250,0.29
251,0.13
252,0.03
253,0.24
254,0.15
255,0.11
256,0.14
257,1.0
258,0.59
259,0.93
260,0.08
261,0.05
262,0.03
263,0.27
264,0.16
265,0.22
266,0.18
267,0.19
268,0.17
269,0.31
270,0.25
271,0.34
272,0.91
273,0.28
274,0.45
275,0.79
276,0.06
277,0.86
278,0.18
279,0.12
280,0.22
281,0.27
282,0.83
283,0.1
284,0.24
285,0.92
286,0.15
287,0.19
288,0.23
289,0.47
290,0.04
291,0.03
292,0.03
293,0.08
294,0.16
295,0.0
296,0.26
297,0.04
298,0.19
299,0.03
300,0.36
301,0.15
302,0.28
303,0.12
304,0.27
305,0.18
306,0.42
307,0.09
308,0.11
309,0.99
310,0.29
311,0.97
312,0.07
313,0.19
314,0.79
315,0.3
316,0.29
317,0.45
318,0.29
319,0.22
320,0.46
321,0.24
322,0.95
323,0.06
324,0.08
325,0.07
326,0.06
327,0.06
328,0.06
329,0.94
330,0.28
331,0.04
332,0.15
333,0.13
334,0.77
335,0.05
336,0.57
337,0.06
338,0.03
339,0.19
340,0.23
341,0.09
342,0.47
343,0.18
344,0.51
345,0.57
346,0.12
347,0.35
348,0.23
349,0.25
350,0.99
351,0.22
352,0.22
353,0.98
354,0.89
355,0.16
356,0.99
357,0.72
358,0.38
359,0.47
360,0.23
361,0.82
362,0.6
363,0.37
364,0.26
365,0.4
366,0.37
367,0.51
368,0.07
369,0.98
370,0.49
371,0.17
372,0.52
373,0.37
374,0.51
375,0.46
376,0.35
377,0.24
378,0.29
379,0.99
380,0.81
381,0.93
382,0.23
383,0.13
384,0.71
385,0.3
386,0.1
387,0.39
388,0.21
389,0.27
390,0.27
391,0.38
392,0.25
393,0.1
394,0.09
395,0.3
396,0.22
397,0.1
398,0.39
399,1.0
400,0.29
401,0.99
402,0.98
403,0.59
404,0.09
405,0.78
406,0.08
407,0.01
408,0.91
409,0.16
410,0.41
411,0.98
412,0.05
413,0.96
414,0.22
415,0.87
416,0.23
417,0.02
418,0.97
419,0.89
420,0.07
421,0.14
422,0.6
423,0.9
424,0.21
425,0.25
426,0.48
427,0.14
428,1.0
429,0.19
430,0.45
431,0.72
432,0.99
433,0.51
434,0.09
435,0.98
436,0.03
437,0.97
438,0.4
439,0.09
440,0.06
441,0.92
442,0.01
443,0.72
444,0.3
445,0.74
446,0.12
447,0.14
448,0.06
449,0.48
450,0.78
451,0.18
452,0.05
453,0.35
454,0.98
455,0.08
456,0.16
457,0.91
458,0.03
459,0.34
460,0.2
461,0.12
462,0.97
463,0.88
464,0.06
465,0.02
466,0.85
467,0.85
468,0.64
469,0.23
470,0.39
471,0.17
472,0.26
473,0.03
474,1.0
475,0.17
476,0.18
477,0.31
478,0.95
479,0.11
480,0.91
481,0.07
482,0.08
483,0.2
484,0.87
485,0.62
486,0.23
487,0.05
488,0.15
489,0.89
490,0.4
491,0.11
492,0.04
493,0.95
494,0.25
495,0.92
496,1.0
